,col2,NOME_DO_MUNICIPIO,POP_TOTAL,DOM_PART_PERM,DENSIDADE_POPULACAO_1000HAB_KM2,TX_IMOVEIS_VAGOS,PCT_DOM_CASA,PCT_DOM_APART,PCT_DOM_PROPR_QUITADO,PCT_DOM_PROPR_NAO_QUITADO,PCT_DOM_ALUGADO,NOME_DA_UF,municipio_UF,cleaned,code,string,value
0,1465,Abadia de Goiás,8958,3063,0.0608263659033059,8.892355694227769,95.10284035259548,0.6529546196539341,45.34769833496571,11.263467189030369,27.42409402546523,GO,Abadia de Goiás GO,abadia de goias go,5200050,abadia de goias go,1.0
1,3326,Abadia dos Dourados,7006,2772,0.0079267469738534,10.773638968481375,97.54689754689754,2.453102453102453,66.0894660894661,1.83982683982684,14.32178932178932,MG,Abadia dos Dourados MG,abadia dos dourados mg,3100104,abadia dos dourados mg,1.0
2,2545,Abadiânia,20461,6620,0.0195103732194703,5.038387715930902,98.98791540785496,0.4682779456193353,68.1117824773414,3.2024169184290026,13.23262839879154,GO,Abadiânia GO,abadiania go,5200100,abadiania go,1.0
3,2302,Abaetetuba,159080,39914,0.0983306997788598,8.07060414984836,95.9162198727264,2.0168361978253246,86.96196823169814,1.6510497569775016,4.908052312471814,PA,Abaetetuba PA,abaetetuba pa,1500107,abaetetuba pa,1.0
4,204,Abaeté,23250,9045,0.0127564786060833,7.202859696157283,94.92537313432835,4.91984521835268,60.33167495854063,5.207296849087894,20.43117744610282,MG,Abaeté MG,abaete mg,3100203,abaete mg,1.0
5,4633,Abaiara,11853,4094,0.0659992455238868,9.684166492365614,100.0,0.0,82.51099169516365,1.5876893014167073,6.2530532486565695,CE,Abaiara CE,abaiara ce,2300101,abaiara ce,1.0
6,1296,Abaré,20347,6128,0.0136461029391153,12.452333990795529,99.1840731070496,0.7669712793733683,77.82310704960834,0.4732375979112272,8.94255874673629,BA,Abaré BA,abare ba,2900207,abare ba,1.0
7,5515,Abatiá,7408,2683,0.0323124410662163,11.192368839427663,100.0,0.0,66.64181885948564,6.261647409616102,11.442415206857994,PR,Abatiá PR,abatia pr,4100103,abatia pr,1.0
8,5272,Abaíra,8710,3219,0.0163642320790724,17.850678733031675,100.0,0.0,86.73501087294191,0.5591798695246971,5.032618825722274,BA,Abaíra BA,abaira ba,2900108,abaira ba,1.0
9,950,Abdon Batista,2548,977,0.0107870005974338,10.936205468102736,99.3858751279427,0.6141248720573184,85.36335721596724,0.818833162743091,4.503582395087001,SC,Abdon Batista SC,abdon batista sc,4200051,abdon batista sc,1.0
10,2365,Abel Figueiredo,7486,2393,0.0121338773216684,11.05407255304586,97.8687839531968,1.5043877977434184,71.91809444212288,1.211867948182198,11.491851232762222,PA,Abel Figueiredo PA,abel figueiredo pa,1500131,abel figueiredo pa,1.0
11,1955,Abelardo Luz,17960,6264,0.018810792575563,8.756345177664974,93.42273307790548,6.273946360153258,69.55619412515965,6.513409961685824,11.637931034482758,SC,Abelardo Luz SC,abelardo luz sc,4200101,abelardo luz sc,1.0
12,1342,Abre Campo,13444,4551,0.0284889220637967,13.948033201010466,93.2322566468908,6.767743353109207,71.30301032740056,0.9009009009009008,13.205888815644911,MG,Abre Campo MG,abre campo mg,3100302,abre campo mg,1.0
13,1511,Abreu e Lima,100346,31910,0.7918246213933962,6.113423517169616,98.0507677843936,1.3350047007207773,75.3400188028831,1.707928549044187,16.32090253838922,PE,Abreu e Lima PE,abreu e lima pe,2600054,abreu e lima pe,1.0
14,5477,Abreulândia,2594,1008,0.0013630944767345,7.233407904548844,99.90079365079364,0.0,75.09920634920634,1.0912698412698412,8.035714285714286,TO,Abreulândia TO,abreulandia to,1700251,abreulandia to,1.0
15,372,Acaiaca,3994,1472,0.0390891289491642,10.786397449521788,98.91304347826087,1.0869565217391304,78.73641304347827,2.5815217391304346,11.480978260869565,MG,Acaiaca MG,acaiaca mg,3100401,acaiaca mg,1.0
16,1361,Acajutiba,15187,5065,0.083969418588768,12.722605486924436,99.822309970385,0.138203356367226,83.57354392892398,0.4343534057255676,7.857847976307997,BA,Acajutiba BA,acajutiba ba,2900306,acajutiba ba,1.0
17,1599,Acarape,15036,5303,0.0961559543677836,13.02034428794992,98.3217046954554,1.4142937959645483,83.10390345087684,1.640580803318876,7.429756741467094,CE,Acarape CE,acarape ce,2300150,acarape ce,1.0
18,1582,Acaraú,63104,20794,0.0745640055876061,13.059835901540923,94.52726748100412,5.342887371357121,82.00923343272099,1.072424737905165,7.266519188227372,CE,Acaraú CE,acarau ce,2300200,acarau ce,1.0
19,641,Acari,11121,3772,0.0181953633724857,7.964601769911504,95.62566277836692,3.817603393425239,70.25450689289502,1.855779427359491,12.672322375397664,RN,Acari RN,acari rn,2400109,acari rn,1.0
20,284,Acará,55669,13714,0.0127586956551095,6.96311397082245,98.95726994312382,0.2406300131252734,91.22065043021728,1.0354382382966312,2.1802537552865684,PA,Acará PA,acara pa,1500206,acara pa,1.0
21,3768,Acauã,7102,2214,0.0055269843246716,17.981843575418996,98.82565492321592,1.1743450767841013,96.16079494128272,0.6323396567299007,1.4453477868112017,PI,Acauã PI,acaua pi,2200053,acaua pi,1.0
22,5509,Aceguá,4942,1778,0.0031867989213404,11.146642302421196,99.6625421822272,0.0,72.72215973003374,0.6749156355455568,7.986501687289089,RS,Aceguá RS,acegua rs,4300034,acegua rs,1.0
23,1615,Acopiara,54481,20670,0.0239459639511685,13.492256547474256,95.75229801644896,4.13159167876149,65.68456700532172,2.365747460087083,14.107402031930336,CE,Acopiara CE,acopiara ce,2300309,acopiara ce,1.0
24,4311,Acorizal,5334,1885,0.006323000906567,14.258698940998489,94.05835543766578,0.0,82.3342175066313,0.9549071618037136,2.8116710875331563,MT,Acorizal MT,acorizal mt,5100102,acorizal mt,1.0
25,633,Acrelândia,15490,5116,0.0085329729076088,12.602545968882602,99.1985926505082,0.6645817044566066,79.94526974198592,0.0781860828772478,7.114933541829553,AC,Acrelândia AC,acrelandia ac,1200013,acrelandia ac,1.0
26,3614,Acreúna,22546,7878,0.0143502055553937,12.545931758530186,98.97182025894897,0.9393247017009394,62.87128712871287,2.25945671490226,21.32520944402133,GO,Acreúna GO,acreuna go,5200134,acreuna go,1.0
27,1886,Adamantina,35111,12806,0.0851212447638672,6.835355285961872,96.03310947993128,3.841949086365767,57.34811806965486,11.682024051225987,21.255661408714666,SP,Adamantina SP,adamantina sp,3500105,adamantina sp,1.0
28,916,Adelândia,2516,944,0.0217369848334594,7.623318385650223,97.98728813559322,1.8008474576271187,65.67796610169492,1.8008474576271187,18.855932203389827,GO,Adelândia GO,adelandia go,5200159,adelandia go,1.0
29,4814,Adolfo,3554,1301,0.0167918455282883,8.073496659242762,100.0,0.0,47.65564950038432,17.21752498078401,20.06149116064565,SP,Adolfo SP,adolfo sp,3500204,adolfo sp,1.0
30,4739,Adrianópolis,5857,2078,0.0043314414485264,22.97692557686058,100.0,0.0,72.37728585178054,0.2406159769008662,6.785370548604427,PR,Adrianópolis PR,adrianopolis pr,4100202,adrianopolis pr,1.0
31,5265,Adustina,17126,5902,0.0269833118662175,14.173017783126085,99.9661131819722,0.0,87.97017960013555,0.5083022704168079,3.4564554388342934,BA,Adustina BA,adustina ba,2900355,adustina ba,1.0
32,3580,Afogados da Ingazeira,37404,13779,0.0986138921850272,15.668360646376977,98.75898105813192,1.2265041004427026,68.6334276798026,2.438493359460048,20.023223746280564,PE,Afogados da Ingazeira PE,afogados da ingazeira pe,2600104,afogados da ingazeira pe,1.0
33,1563,Afonso Bezerra,11029,3319,0.0190584519774126,10.241994622341725,99.69870442904492,0.1807773425730641,78.18620066285027,0.1807773425730641,6.718891232298885,RN,Afonso Bezerra RN,afonso bezerra rn,2400307,afonso bezerra rn,1.0
34,3260,Afonso Cláudio,30455,11240,0.0319174943391981,13.027522935779814,93.07829181494664,4.581850533807828,62.65124555160142,2.846975088967972,13.256227758007116,ES,Afonso Cláudio ES,afonso claudio es,3200102,afonso claudio es,1.0
35,4283,Afonso Cunha,6578,1638,0.0176371876858056,8.106694560669457,100.0,0.0,80.46398046398046,0.061050061050061,2.5641025641025643,MA,Afonso Cunha MA,afonso cunha ma,2100105,afonso cunha ma,1.0
36,1461,Afrânio,19810,6187,0.0132346310299948,13.836402774455872,99.61208986584776,0.3879101341522547,86.11604978180056,2.133505737837401,6.659123969613706,PE,Afrânio PE,afranio pe,2600203,afranio pe,1.0
37,2263,Afuá,39567,8591,0.0047045401515156,6.488399528116398,94.4825980677453,0.5936445116982889,91.61913630543592,0.779885927133046,1.4666511465487138,PA,Afuá PA,afua pa,1500305,afua pa,1.0
38,569,Agrestina,25065,9003,0.1239054391732365,13.576977401129945,98.10063312229256,1.8882594690658667,71.73164500721981,3.0212151505053866,15.650338775963569,PE,Agrestina PE,agrestina pe,2600302,agrestina pe,1.0
39,4621,Agricolândia,5131,1683,0.0454419461655295,15.105882352941176,100.0,0.0,81.34284016636958,10.635769459298873,1.42602495543672,PI,Agricolândia PI,agricolandia pi,2200103,agricolandia pi,1.0
40,3801,Agrolândia,11013,4131,0.0529745864541157,6.142668428005284,94.02081820382472,5.591866376180102,65.60154926167998,7.020091987412249,14.9358508835633,SC,Agrolândia SC,agrolandia sc,4200200,agrolandia sc,1.0
41,1975,Agronômica,5509,2038,0.0421356836022183,8.27165868524162,90.48086359175664,9.077526987242395,73.25809617271834,6.869479882237488,10.500490677134446,SC,Agronômica SC,agronomica sc,4200309,agronomica sc,1.0
42,4481,Aguanil,4522,1731,0.0194300126304535,17.25423728813559,100.0,0.0,73.77238590410168,4.3905257076834205,9.185441941074524,MG,Aguanil MG,aguanil mg,3100807,aguanil mg,1.0
43,3011,Aguaí,36648,12250,0.0769962212969876,7.735795047946185,98.34285714285711,1.5918367346938775,51.32244897959185,9.33061224489796,24.718367346938773,SP,Aguaí SP,aguai sp,3500303,aguai sp,1.0
44,1810,Agudo,16401,6039,0.030555472364246,9.139167862266856,92.05166418281172,7.74962742175857,71.71717171717172,7.931776784235802,9.65391621129326,RS,Agudo RS,agudo rs,4300109,agudo rs,1.0
45,2099,Agudos,37401,12000,0.0386141745445068,5.703938433680398,99.1,0.8916666666666667,64.99166666666666,9.55,15.6,SP,Agudos SP,agudos sp,3500709,agudos sp,1.0
46,3924,Agudos do Sul,9470,3353,0.0491625976916494,9.114219114219114,98.95615866388307,1.0438413361169103,81.86698478974051,0.1789442290486131,5.934983596779004,PR,Agudos do Sul PR,agudos do sul pr,4100301,agudos do sul pr,1.0
47,1524,Aguiar,5630,2034,0.0162629765481812,16.96461145567311,99.60668633235004,0.344149459193707,68.68239921337266,0.1966568338249754,10.127826941986234,PB,Aguiar PB,aguiar pb,2500205,aguiar pb,1.0
48,1751,Aguiarnópolis,6892,2095,0.0291530019548712,9.52018278750952,99.52267303102624,0.3818615751789976,70.73985680190931,9.880668257756565,9.642004773269688,TO,Aguiarnópolis TO,aguiarnopolis to,1700301,aguiarnopolis to,1.0
49,1267,Aimorés,25141,9510,0.018584666626616,15.573423614049934,95.36277602523658,4.458464773922186,65.18401682439537,5.509989484752892,14.479495268138802,MG,Aimorés MG,aimores mg,3101102,aimores mg,1.0
50,446,Aiquara,4416,1554,0.0275515641779778,18.11425917324664,99.29214929214928,0.3861003861003861,66.0875160875161,1.4157014157014156,6.177606177606178,BA,Aiquara BA,aiquara ba,2900603,aiquara ba,1.0
51,668,Aiuaba,17493,6324,0.0071548563097655,19.02082834570265,99.69955724225174,0.2530044275774825,70.43010752688173,2.134724857685009,10.167615433270084,CE,Aiuaba CE,aiuaba ce,2300408,aiuaba ce,1.0
52,3444,Aiuruoca,5976,2265,0.0091744584440803,13.829787234042554,96.55629139072848,3.4437086092715226,78.23399558498896,0.5739514348785872,10.684326710816777,MG,Aiuruoca MG,aiuruoca mg,3101201,aiuruoca mg,1.0
53,10,Ajuricaba,6987,2692,0.0215835149853686,7.767316745124411,94.57652303120356,5.423476968796433,76.67161961367012,6.389301634472512,8.729569093610698,RS,Ajuricaba RS,ajuricaba rs,4300208,ajuricaba rs,1.0
54,4914,Alagoa,2665,977,0.0164739731067859,14.275202354672553,100.0,0.0,82.39508700102355,0.4094165813715456,8.597748208802457,MG,Alagoa MG,alagoa mg,3101300,alagoa mg,1.0
55,3678,Alagoa Grande,28439,9577,0.0883375263548816,12.414033254983895,98.6843479168842,0.8457763391458702,76.82990498068288,1.3052103999164666,10.84890884410567,PB,Alagoa Grande PB,alagoa grande pb,2500304,alagoa grande pb,1.0
56,5358,Alagoa Nova,20921,6956,0.1703956323998636,11.967448539971278,100.0,0.0,78.39275445658423,0.2156411730879816,9.373202990224266,PB,Alagoa Nova PB,alagoa nova pb,2500403,alagoa nova pb,1.0
57,4188,Alagoinha,14718,5165,0.0672844756048115,9.94805603651818,99.90319457889645,0.0,79.34172313649566,2.207163601161665,11.287512100677636,PE,Alagoinha PE,alagoinha pe,2600609,alagoinha pe,1.0
58,603,Alagoinha,14560,4724,0.1494928343679787,10.705423608649417,96.4648602878916,3.5351397121083825,78.66215071972906,2.984758679085521,8.615580016934802,PB,Alagoinha PB,alagoinha pb,2500502,alagoinha pb,1.0
59,2754,Alagoinha do Piauí,7665,2633,0.0143199190758113,22.108495394063464,99.31636916065322,0.6076718571971136,92.02430687428787,0.0759589821496392,3.6460311431826815,PI,Alagoinha do Piauí PI,alagoinha do piaui pi,2200251,alagoinha do piaui pi,1.0
60,1358,Alagoinhas,152327,53166,0.2016754577200415,8.43381509138989,96.41500206899144,2.8401610051536696,78.04047699657674,4.4784260617688,13.297972388368509,BA,Alagoinhas BA,alagoinhas ba,2900702,alagoinhas ba,1.0
61,4460,Alambari,6129,2061,0.0383917359185765,9.001022843504943,99.85443959243086,0.0,64.09509946627851,4.124211547792334,13.003396409509945,SP,Alambari SP,alambari sp,3500758,alambari sp,1.0
62,5254,Albertina,3011,1064,0.0517717982353812,10.974729241877256,100.0,0.0,66.72932330827068,0.5639097744360902,9.210526315789474,MG,Albertina MG,albertina mg,3101409,albertina mg,1.0
63,5350,Alcantil,5509,1990,0.0179627794580445,16.910386201724783,99.9497487437186,0.0,84.07035175879396,0.150753768844221,5.427135678391959,PB,Alcantil PB,alcantil pb,2500536,alcantil pb,1.0
64,1936,Alcinópolis,5417,2195,0.0012273299701653,6.95983379501385,99.58997722095673,0.3644646924829157,48.01822323462415,9.248291571753986,14.624145785876992,MS,Alcinópolis MS,alcinopolis ms,5000252,alcinopolis ms,1.0
65,493,Alcobaça,22490,7558,0.0151334648808792,13.8910952254876,95.62053453294524,4.008997089177032,75.62847314104259,2.156655199788304,9.685101878803916,BA,Alcobaça BA,alcobaca ba,2900801,alcobaca ba,1.0
66,1653,Alcântara,22112,7001,0.014807415858957,4.487179487179487,99.11441222682474,0.3999428653049564,98.2145407798886,0.0,0.5427796029138694,MA,Alcântara MA,alcantara ma,2100204,alcantara ma,1.0
67,649,Alcântaras,11781,4096,0.0846218485260608,14.659090909090908,98.388671875,1.46484375,81.1279296875,0.9033203125,4.19921875,CE,Alcântaras CE,alcantaras ce,2300507,alcantaras ce,1.0
68,4282,Aldeias Altas,26757,7297,0.0137166594035835,4.833873095837832,99.972591475949,0.0,89.118815951761,0.1096340962039194,4.015348773468549,MA,Aldeias Altas MA,aldeias altas ma,2100303,aldeias altas ma,1.0
69,996,Alecrim,5827,2324,0.0184840817844265,8.471521268925741,99.2685025817556,0.6024096385542169,79.43201376936318,8.046471600688466,5.378657487091222,RS,Alecrim RS,alecrim rs,4300307,alecrim rs,1.0
70,3268,Alegre,29975,11279,0.0387191445038412,12.317371548409646,93.13768951148153,6.622927564500399,55.83828353577445,3.4045571415905664,22.27147796790496,ES,Alegre ES,alegre es,3200201,alegre es,1.0
71,2930,Alegrete,73028,27883,0.0093468365217168,4.66809971445988,88.16841803249294,11.354588817559089,68.92730337481619,3.754976150342503,15.686977728364957,RS,Alegrete RS,alegrete rs,4300406,alegrete rs,1.0
72,5044,Alegrete do Piauí,4918,1562,0.0173218999354415,16.632548618219033,99.93597951344432,0.0,81.81818181818181,5.569782330345711,7.682458386683738,PI,Alegrete do Piauí PI,alegrete do piaui pi,2200277,alegrete do piaui pi,1.0
73,11,Alegria,3374,1331,0.0195076538409934,11.318327974276528,98.79789631855748,0.9767092411720508,78.51239669421486,8.339594290007513,4.958677685950414,RS,Alegria RS,alegria rs,4300455,alegria rs,1.0
